composerName,workTitle,quantile,dateCount
"Anderson,  Leroy",SLEIGH RIDE,3,4
"Anderson,  Leroy",SLEIGH RIDE (ARR. Davis),3,2
"Anderson,  Leroy",SUITE OF CAROLS - STRINGS,3,2
"Anderson,  Leroy","TRUMPETER'S LULLABY, A (ORIG. ORCHESTRAL)",3,1
"Anderson,  Leroy","TYPEWRITER, THE (ORCHESTRA)",3,1
"Anderson,  Leroy","WALTZING CAT, THE",3,2
"Andre,  Mark",E2,3,2
"Andreae,  Volkmar","LITTLE SUITE FOR ORCHESTRA, OP. 27",3,1
"Andres,  Timo","BLIND BANISTER, THE [CONCERTO, PIANO]",3,4
"Andriessen,  Louis",AGAMEMNON,3,3
"Andriessen,  Louis",DE STAAT,3,1
"Andriessen,  Louis",TAO,3,3
"Anrooy,  Peter  G. Van","PIET HEIN, DUTCH RHAPSODY",3,1
"Anthem,",AUSTRIA,3,1
"Anthem,",BRAZIL,2,9
"Anthem,",CANADA,3,3
"Anthem,",CANADA (ARR. Broome),3,2
"Anthem,",CANADA: VICE-REGAL SALUTE,3,1
"Anthem,",CANADIAN ROYAL SALUTE,3,1
"Anthem,",CHILE,3,1
"Anthem,",COLOMBIA,3,2
"Anthem,",DOMINICAN REPUBLIC,3,2
"Anthem,",ECUADOR,3,2
"Anthem,",FINLAND,3,1
"Anthem,",FRANCE,2,6
"Anthem,",GREECE,3,1
"Anthem,",INDIA,3,2
"Anthem,",ISRAEL,3,4
"Anthem,",JAPAN,2,5
"Anthem,","KOREA, REPUBLIC OF",2,6
"Anthem,",NORWAY,3,2
"Anthem,",PANAMA,3,1
"Anthem,",PARAGUAY,3,1
"Anthem,",PERU,3,1
"Anthem,",PHILIPPINES,3,2
"Anthem,",POLAND,2,5
"Anthem,",SERBIA,3,1
"Anthem,",SINGAPORE,3,1
"Anthem,",SPAIN,3,1
"Anthem,","TAIWAN, REPUBLIC OF CHINA",2,7
"Anthem,",THAILAND,3,2
"Anthem,",UKRAINE,3,3
"Anthem,",UNION OF SOVIET SOCIALIST REPUBLICS,2,17
"Anthem,",UNITED KINGDOM (GOD SAVE THE KING),3,4
"Anthem,",UNITED KINGDOM (GOD SAVE THE QUEEN),2,5
"Anthem,",UNITED STATES,1,314
"Anthem,",UNITED STATES (ARR. Stravinsky),3,3
"Anthem,",UNITED STATES (ARR. Toscanini),3,4
"Anthem,",UNITED STATES (PIANO VERSION) (ARR. Hofmann),3,1
"Anthem,",URUGUAY,3,1
"Anthem,",VENEZUELA,3,2
"Anthem,",VIETNAM,3,2
"Arancio,  Julia",UNITY,3,1
"Araujo,  Benjamin","POSTCARD FROM NEW YORK CITY, A",3,2
"Arditi,  Luigi","BACIO, IL, VALSE (VOICE)",3,1
"Arensky,  Anton  Stepanovich",VARIATIONS ON A THEME BY TCHAIKOVSKY,3,2
"Argento,  Dominick",A RING OF TIME,3,3
"Argento,  Dominick",CASA GUIDI,3,3
"Arlen,  Harold",BLUES OPERA: SUITE (ARR. Matlowsky),3,4
"Arlen,  Harold",HERE COME THE WAVES: AC-CEN-TCHU-ATE THE POSITIVE (ARR. Matz),3,3
"Arlen,  Harold",I'VE GOT THE WORLD ON A STRING (ARR. Riddle),3,1
"Arlen,  Harold",ST. LOUIS WOMAN,3,2
"Arlen,  Harold","STAR IS BORN, A:  MAN THAT GOT AWAY, THE",3,1
"Arne,  Thomas","TEMPEST, THE",3,1
"Arnell,  Richard","BLACK MOUNTAIN, OP.46",3,1
"Arnold,  Sir  Malcolm","TAM O'SHANTER OVERTURE, OP. 51",3,1
"Arotsky,  Sheridan",HAUNTED DOLL,3,3
"Artot,  Alexandre",CONCERT VARIATIONS FOR SOPRANO AND VIOLIN,3,1
"Arutunian,  Alexander",CONCERTO FOR TRUMPET AND ORCHESTRA,2,6
"Ashimine,  Shuono",ROCK 'N' ROLL,3,1
"Auber,  Daniel-François",MANON LESCAUT,3,2
"Aubert,  Louis",FANTASIE FOR PIANO AND ORCHESTRA,3,2
"Aubert,  Louis",OFFRANDE,3,2
"Aubert,  Louis",VIELLE CHANSON ESPANOLE (ARR. Humiston),3,1
"Auerbach,  Lera","CONCERTO, VIOLIN, NO. 4",3,3
"Auerbach,  Lera",SYMPHONY NO. 1,3,1
"Austin,  Larry",IMPROVISATIONS FOR ORCHESTRA AND JAZZ SOLOISTS,2,5
"Avshalomov,  Jacob",SYMPHONY: THE OREGON,3,1
"Azmeh,  Kinan",IBN ARABI POSTLUDE,3,1
"Babbitt,  Milton",CORRESPONDENCES,3,1
"Babbitt,  Milton",RELATA II,3,4
"Babbitt,  Milton",TWO THEATRE SONGS,3,3
"Babin,  Victor",CAPRICCIO FOR ORCHESTRA,3,2
"Babin,  Victor","CONCERTO, TWO PIANOS",3,2
"Bacalov,  Luis  Enrique","CITTA DELLE DONNE, LA (THE CITY OF WOMEN), SUITE (ARR. Ross)",3,1
"Bacalov,  Luis  Enrique","POSTINO, LA (THE POSTMAN) (ARR. Ross)",3,2
"Bacewicz,  Grazyna","CONCERTO, STRING ORCHESTRA",3,3
"Bacewicz,  Grazyna",OVERTURE FOR ORCHESTRA,3,1
"Bacewicz,  Grazyna",POLISH CAPRICE,3,1
"Bach,  Carl  Philipp Emanuel","CONCERTO, FLUTE, D MINOR",2,5
"Bach,  Carl  Philipp Emanuel","CONCERTO, ORCHESTRA, IN D MAJOR (ARR. Steinberg)",3,2
"Bach,  Carl  Philipp Emanuel","CONCERTO, TWO PIANOS, F MAJOR",3,4
"Bach,  Carl  Philipp Emanuel","ORCHESTRAL SYMPHONY NO. 1, D MAJOR",3,4
"Bach,  Carl  Philipp Emanuel",SINFONIA NO. 3,3,4
"Bach,  Carl  Philipp Emanuel","SYMPHONY IN D MAJOR, W. 183, NO. 1",3,3
"Bach,  Carl  Philipp Emanuel","SYMPHONY IN G MAJOR, W.182, NO. 1",3,1
"Bach,  Johann  Christian","LUCIO SILLA: OVERTURE (SIN. B-FLAT, OP. 18, NO. 2) (ARR. Stein)",2,6
"Bach,  Johann  Christian",SINFONIA IN B FLAT MAJOR (UNSPECIFIED),3,2
"Bach,  Johann  Christian","SINFONIA IN D MAJOR, OP. 18, NO. 4",3,4
"Bach,  Johann  Christian","SINFONIA, D MAJOR (DBL. ORCH.) OP. 18, NO. 3",3,3
"Bach,  Johann  Christian","SINFONIA, G MINOR, OP. 6, NO. 6",3,4
"Bach,  Johann  Sebastian",AIR [UNSPECIFIED],3,1
"Bach,  Johann  Sebastian",ALLEMANDE & COURANTE (UNSPECIFIED),3,1
"Bach,  Johann  Sebastian",ARIOSO (UNSPECIFIED),3,1
"Bach,  Johann  Sebastian","ART OF THE FUGUE, THE: CONTRAPUNCTUS I, NO. 1 (ARR. Nodaira)",3,3
"Bach,  Johann  Sebastian","ART OF THE FUGUE, THE: FUGUE IN THREE VOICES, NO. 14 (ARR. Nodaira)",3,3
"Bach,  Johann  Sebastian",AVE MARIA (ORCH. WITH VIOLIN OR VOICE) (ARR. Gounod),2,6
"Bach,  Johann  Sebastian","BIST DU BEI MIR, BWV 508 (ARR. Friedman)",3,1
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 1, F MAJOR, BWV 1046",2,21
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047",2,19
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047 (ARR. Mottl)",3,4
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 3 IN G MAJOR, BWV 1048",1,77
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 4 IN G MAJOR, BWV 1049",2,18
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 5 IN D MAJOR, BWV 1050",2,33
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 5, 1ST MOVT, ROCK VARIATIONS AND FANTASY ON  (ARR. NY Rock and Roll Ensemble)",3,1
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 6 IN B-FLAT MAJOR, BWV 1051",2,30
"Bach,  Johann  Sebastian",CANTATA NO.  21,3,1
"Bach,  Johann  Sebastian",CANTATA NO.  27,3,2
"Bach,  Johann  Sebastian",CANTATA NO.  29,3,4
"Bach,  Johann  Sebastian",CANTATA NO.  31,3,2
"Bach,  Johann  Sebastian",CANTATA NO.  42,3,4
"Bach,  Johann  Sebastian",CANTATA NO.  48,3,4
"Bach,  Johann  Sebastian",CANTATA NO.  50,2,11
"Bach,  Johann  Sebastian",CANTATA NO.  51,2,14
"Bach,  Johann  Sebastian",CANTATA NO.  56,3,2
"Bach,  Johann  Sebastian",CANTATA NO.  57,3,2
