composerName,workTitle,composer_work,dateCount
"Donizetti,  Gaetano","FILLE DU RÉGIMENT, LA","Donizetti,  Gaetano_FILLE DU RÉGIMENT, LA",5
"Donizetti,  Gaetano",LA FAVORITA,"Donizetti,  Gaetano_LA FAVORITA",5
"Donizetti,  Gaetano",L'ELISIR D'AMORE,"Donizetti,  Gaetano_L'ELISIR D'AMORE",9
"Donizetti,  Gaetano",LUCIA DI LAMMERMOOR,"Donizetti,  Gaetano_LUCIA DI LAMMERMOOR",5
"Druckman,  Jacob",AUREOLE,"Druckman,  Jacob_AUREOLE",5
"Druckman,  Jacob",LAMIA FOR SOPRANO AND ORCHESTRA (REVISED),"Druckman,  Jacob_LAMIA FOR SOPRANO AND ORCHESTRA (REVISED)",5
"Druckman,  Jacob",PRISM,"Druckman,  Jacob_PRISM",13
"Dukas,  Paul",LA PERI,"Dukas,  Paul_LA PERI",26
"Dukas,  Paul","SORCERER'S APPRENTICE, THE","Dukas,  Paul_SORCERER'S APPRENTICE, THE",115
"Dukas,  Paul","VILLANELLE, FOR HORN AND ORCHESTRA (ARR. Bujanowsky)","Dukas,  Paul_VILLANELLE, FOR HORN AND ORCHESTRA (ARR. Bujanowsky)",5
"Dun,  Tan","CONCERTO, WATER PERCUSSION","Dun,  Tan_CONCERTO, WATER PERCUSSION",7
"Dun,  Tan","PIECES (8) IN HUNAN ACCENT, OP. 1","Dun,  Tan_PIECES (8) IN HUNAN ACCENT, OP. 1",5
"Duparc,  Henri",L'INVITATION AU VOYAGE (VOICE + ORCH),"Duparc,  Henri_L'INVITATION AU VOYAGE (VOICE + ORCH)",7
"Duparc,  Henri","MANOIR DE ROSEMONDE, LE","Duparc,  Henri_MANOIR DE ROSEMONDE, LE",5
"Duparc,  Henri",PHIDYLÉ (ORCH),"Duparc,  Henri_PHIDYLÉ (ORCH)",10
"Dutilleux,  Henri","CONCERTO, CELLO, TOUT UN MONDE LOINTAIN","Dutilleux,  Henri_CONCERTO, CELLO, TOUT UN MONDE LOINTAIN",6
"Dutilleux,  Henri",MÉTABOLES,"Dutilleux,  Henri_MÉTABOLES",16
"Dutilleux,  Henri","TIMBRES, ESPACE, MOUVEMENT","Dutilleux,  Henri_TIMBRES, ESPACE, MOUVEMENT",5
"Dvorak,  Antonín","CARNIVAL OVERTURE, OP.92","Dvorak,  Antonín_CARNIVAL OVERTURE, OP.92",140
"Dvorak,  Antonín","CONCERTO, CELLO, B MINOR, OP.104","Dvorak,  Antonín_CONCERTO, CELLO, B MINOR, OP.104",91
"Dvorak,  Antonín","CONCERTO, PIANO, G MINOR, OP.33","Dvorak,  Antonín_CONCERTO, PIANO, G MINOR, OP.33",16
"Dvorak,  Antonín","CONCERTO, VIOLIN, A MINOR, OP.53","Dvorak,  Antonín_CONCERTO, VIOLIN, A MINOR, OP.53",71
"Dvorak,  Antonín","GOLDEN SPINNING WHEEL, OP.109","Dvorak,  Antonín_GOLDEN SPINNING WHEEL, OP.109",5
"Dvorak,  Antonín","HUSITSKA, OP.67","Dvorak,  Antonín_HUSITSKA, OP.67",6
"Dvorak,  Antonín","IN NATURE'S REALM, AMID NATURE, OVERTURE, OP.91","Dvorak,  Antonín_IN NATURE'S REALM, AMID NATURE, OVERTURE, OP.91",7
"Dvorak,  Antonín","NOON WITCH, OP.108","Dvorak,  Antonín_NOON WITCH, OP.108",8
"Dvorak,  Antonín","OTHELLO, OVERTURE, OP.93","Dvorak,  Antonín_OTHELLO, OVERTURE, OP.93",5
"Dvorak,  Antonín","RONDO, CELLO, OP.94","Dvorak,  Antonín_RONDO, CELLO, OP.94",5
"Dvorak,  Antonín","SCHERZO CAPRICCIOSO, OP.66","Dvorak,  Antonín_SCHERZO CAPRICCIOSO, OP.66",10
"Dvorak,  Antonín","SERENADE, D MINOR, OP.44","Dvorak,  Antonín_SERENADE, D MINOR, OP.44",5
"Dvorak,  Antonín",SLAVONIC DANCES [UNSPECIFIED],"Dvorak,  Antonín_SLAVONIC DANCES [UNSPECIFIED]",5
"Dvorak,  Antonín","SLAVONIC DANCES, OP. 46","Dvorak,  Antonín_SLAVONIC DANCES, OP. 46",64
"Dvorak,  Antonín","SLAVONIC DANCES, OP. 72","Dvorak,  Antonín_SLAVONIC DANCES, OP. 72",38
"Dvorak,  Antonín","SYMPHONY NO. 3, E FLAT MAJOR, OP.10","Dvorak,  Antonín_SYMPHONY NO. 3, E FLAT MAJOR, OP.10",7
"Dvorak,  Antonín","SYMPHONY NO. 5, F MAJOR, OP.76 (OLD NO. 3)","Dvorak,  Antonín_SYMPHONY NO. 5, F MAJOR, OP.76 (OLD NO. 3)",12
"Dvorak,  Antonín","SYMPHONY NO. 6, D MAJOR, OP.60 (OLD NO. 1)","Dvorak,  Antonín_SYMPHONY NO. 6, D MAJOR, OP.60 (OLD NO. 1)",35
"Dvorak,  Antonín","SYMPHONY NO. 7, D MINOR, OP.70 (OLD NO. 2)","Dvorak,  Antonín_SYMPHONY NO. 7, D MINOR, OP.70 (OLD NO. 2)",75
"Dvorak,  Antonín","SYMPHONY NO. 8, G MAJOR, OP.88 (OLD NO. 4)","Dvorak,  Antonín_SYMPHONY NO. 8, G MAJOR, OP.88 (OLD NO. 4)",118
"Dvorak,  Antonín","SYMPHONY NO. 9, E MINOR, OP.95 (FROM THE NEW WORLD)","Dvorak,  Antonín_SYMPHONY NO. 9, E MINOR, OP.95 (FROM THE NEW WORLD)",252
"Dvorak,  Antonín","WATER GOBLIN, OP.107","Dvorak,  Antonín_WATER GOBLIN, OP.107",5
"Egner,  Phillip","OFFICIAL WEST POINT MARCH, THE","Egner,  Phillip_OFFICIAL WEST POINT MARCH, THE",5
"Elgar,  Sir  Edward","COCKAIGNE, OP.40","Elgar,  Sir  Edward_COCKAIGNE, OP.40",10
"Elgar,  Sir  Edward","CONCERTO, CELLO, E MINOR, OP. 85","Elgar,  Sir  Edward_CONCERTO, CELLO, E MINOR, OP. 85",30
"Elgar,  Sir  Edward","CONCERTO, VIOLIN, B MINOR, OP.61","Elgar,  Sir  Edward_CONCERTO, VIOLIN, B MINOR, OP.61",42
"Elgar,  Sir  Edward","DREAM OF GERONTIUS, OP.38","Elgar,  Sir  Edward_DREAM OF GERONTIUS, OP.38",7
"Elgar,  Sir  Edward","ENIGMA VARIATIONS, OP. 36","Elgar,  Sir  Edward_ENIGMA VARIATIONS, OP. 36",87
"Elgar,  Sir  Edward","IN THE SOUTH (ALASSIO),OP.50","Elgar,  Sir  Edward_IN THE SOUTH (ALASSIO),OP.50",9
"Elgar,  Sir  Edward","INTRODUCTION AND ALLEGRO, OP. 47","Elgar,  Sir  Edward_INTRODUCTION AND ALLEGRO, OP. 47",17
"Elgar,  Sir  Edward","POMP AND CIRCUMSTANCE NO. 1, D MAJOR, OP. 39","Elgar,  Sir  Edward_POMP AND CIRCUMSTANCE NO. 1, D MAJOR, OP. 39",19
"Elgar,  Sir  Edward","SEA PICTURES, OP. 37","Elgar,  Sir  Edward_SEA PICTURES, OP. 37",6
"Elgar,  Sir  Edward","SYMPHONY NO. 1 IN A FLAT MAJOR, OP.55","Elgar,  Sir  Edward_SYMPHONY NO. 1 IN A FLAT MAJOR, OP.55",19
"Elgar,  Sir  Edward","SYMPHONY NO. 2 IN E FLAT MAJOR, OP.63","Elgar,  Sir  Edward_SYMPHONY NO. 2 IN E FLAT MAJOR, OP.63",6
"Ellington,  Duke",AFRO BOSSA (BULA) (ARR. Marsalis),"Ellington,  Duke_AFRO BOSSA (BULA) (ARR. Marsalis)",5
"Ellington,  Duke",BLUES IN BLUEPRINT (ARR. Marsalis),"Ellington,  Duke_BLUES IN BLUEPRINT (ARR. Marsalis)",5
"Ellington,  Duke",C JAM BLUES,"Ellington,  Duke_C JAM BLUES",19
"Ellington,  Duke",DEEP SOUTH SUITE (ARR. Marsalis),"Ellington,  Duke_DEEP SOUTH SUITE (ARR. Marsalis)",5
"Ellington,  Duke",HARLEM (ARR. Henderson),"Ellington,  Duke_HARLEM (ARR. Henderson)",10
"Ellington,  Duke","HARLEM, A TONE PARALLEL TO (ARR. Marsalis)","Ellington,  Duke_HARLEM, A TONE PARALLEL TO (ARR. Marsalis)",5
"Ellington,  Duke",NUTCRACKER SUITE (ARR. Strayhorn),"Ellington,  Duke_NUTCRACKER SUITE (ARR. Strayhorn)",9
"Ellington,  Duke",PEER GYNT SUITE (JAZZ) (ARR. Strayhorn),"Ellington,  Duke_PEER GYNT SUITE (JAZZ) (ARR. Strayhorn)",5
"Ellington,  Duke","RIVER, THE","Ellington,  Duke_RIVER, THE",15
"Enesco,  Georges","ROMANIAN RHAPSODY, OP. 11, NO. 1","Enesco,  Georges_ROMANIAN RHAPSODY, OP. 11, NO. 1",16
"Falla,  Manuel  de","CONCERTO, HARPSICHORD, D MAJOR","Falla,  Manuel  de_CONCERTO, HARPSICHORD, D MAJOR",9
"Falla,  Manuel  de",EL AMOR BRUJO (REV. 1924),"Falla,  Manuel  de_EL AMOR BRUJO (REV. 1924)",63
"Falla,  Manuel  de",FANFARE POUR UNE FÊTE,"Falla,  Manuel  de_FANFARE POUR UNE FÊTE",5
"Falla,  Manuel  de",NIGHTS IN THE GARDENS OF SPAIN,"Falla,  Manuel  de_NIGHTS IN THE GARDENS OF SPAIN",43
"Falla,  Manuel  de",THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS),"Falla,  Manuel  de_THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS)",14
"Falla,  Manuel  de","THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS), SUITE NO. 1","Falla,  Manuel  de_THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS), SUITE NO. 1",5
"Falla,  Manuel  de","THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS), SUITE NO. 2","Falla,  Manuel  de_THREE-CORNERED HAT (EL SOMBRERO DE TRES PICOS), SUITE NO. 2",91
"Falla,  Manuel  de","VIDA BREVE, LA","Falla,  Manuel  de_VIDA BREVE, LA",27
"Faure [Fauré],  Gabriel-Urbain","BALLADE FOR PIANO AND ORCHESTRA, OP. 19","Faure [Fauré],  Gabriel-Urbain_BALLADE FOR PIANO AND ORCHESTRA, OP. 19",8
"Faure [Fauré],  Gabriel-Urbain","ELEGY, CELLO, ORCHESTRA, OP. 24","Faure [Fauré],  Gabriel-Urbain_ELEGY, CELLO, ORCHESTRA, OP. 24",5
"Faure [Fauré],  Gabriel-Urbain","PAVANE, OP. 50","Faure [Fauré],  Gabriel-Urbain_PAVANE, OP. 50",18
"Faure [Fauré],  Gabriel-Urbain","PELLÉAS ET MÉLISANDE, SUITE, OP.80","Faure [Fauré],  Gabriel-Urbain_PELLÉAS ET MÉLISANDE, SUITE, OP.80",36
"Faure [Fauré],  Gabriel-Urbain","REQUIEM, OP. 48","Faure [Fauré],  Gabriel-Urbain_REQUIEM, OP. 48",8
"Faure [Fauré],  Gabriel-Urbain","SHYLOCK, INCIDENTAL MUSIC, OP. 57","Faure [Fauré],  Gabriel-Urbain_SHYLOCK, INCIDENTAL MUSIC, OP. 57",17
"Fernandez [Fernândez],  Oscar  Lorenzo",REISADO DO PASTOREIO SUITE,"Fernandez [Fernândez],  Oscar  Lorenzo_REISADO DO PASTOREIO SUITE",9
"Fine,  Irving",SERIOUS SONG; A LAMENT FOR STRING ORCHESTRA,"Fine,  Irving_SERIOUS SONG; A LAMENT FOR STRING ORCHESTRA",8
"Flotow,  Friedrich  Von",MARTHA,"Flotow,  Friedrich  Von_MARTHA",8
"Foote,  Arthur","NIGHT PIECE, A (ARR. FLUTE + ORCH.)","Foote,  Arthur_NIGHT PIECE, A (ARR. FLUTE + ORCH.)",7
"Foss,  Lukas",SONG OF SONGS,"Foss,  Lukas_SONG OF SONGS",6
"Foss,  Lukas",TIME CYCLE,"Foss,  Lukas_TIME CYCLE",7
"Foster,  Stephen  Collins",OLD FOLKS AT HOME,"Foster,  Stephen  Collins_OLD FOLKS AT HOME",11
"Franck,  César","CHASSEUR MAUDIT, LE, M. 44","Franck,  César_CHASSEUR MAUDIT, LE, M. 44",8
"Franck,  César","EOLIDES, LES","Franck,  César_EOLIDES, LES",5
"Franck,  César","PRELUDE, CHORALE AND FUGUE (ARR. Pierne [Pierné])","Franck,  César_PRELUDE, CHORALE AND FUGUE (ARR. Pierne [Pierné])",9
"Franck,  César",PSYCHE (PSYCHÉ),"Franck,  César_PSYCHE (PSYCHÉ)",10
"Franck,  César",RÉDEMPTION: MORCEAU SYMPHONIQUE (REV. 1885),"Franck,  César_RÉDEMPTION: MORCEAU SYMPHONIQUE (REV. 1885)",19
"Franck,  César",SYMPHONIC VARIATIONS,"Franck,  César_SYMPHONIC VARIATIONS",42
"Franck,  César",SYMPHONY IN D MINOR,"Franck,  César_SYMPHONY IN D MINOR",112
"Gabrieli,  Giovanni","SACRAE SYMPHONIAE, BOOK 1","Gabrieli,  Giovanni_SACRAE SYMPHONIAE, BOOK 1",27
"Gade,  Niels","ECHOES FROM OSSIAN, OP. 1","Gade,  Niels_ECHOES FROM OSSIAN, OP. 1",6
"Gade,  Niels","SYMPHONY NO. 1, C MINOR, OP. 5","Gade,  Niels_SYMPHONY NO. 1, C MINOR, OP. 5",5
"Ganz,  Rudolph",ANIMAL PICTURES,"Ganz,  Rudolph_ANIMAL PICTURES",6
"Ganz,  Rudolph",PERCUSSIONAL MÊLÉE,"Ganz,  Rudolph_PERCUSSIONAL MÊLÉE",5
"Garland,  Joseph  C.",IN THE MOOD,"Garland,  Joseph  C._IN THE MOOD",5
"Geminiani,  Francesco",ANDANTE (ARR. Marinuzzi),"Geminiani,  Francesco_ANDANTE (ARR. Marinuzzi)",5
"Gershwin,  George","AMERICAN IN PARIS, AN (TRADITIONAL VERSION) (ARR. Campbell-Watson)","Gershwin,  George_AMERICAN IN PARIS, AN (TRADITIONAL VERSION) (ARR. Campbell-Watson)",99
"Gershwin,  George","CONCERTO, PIANO, F MAJOR","Gershwin,  George_CONCERTO, PIANO, F MAJOR",57
"Gershwin,  George",CUBAN OVERTURE,"Gershwin,  George_CUBAN OVERTURE",15
"Gershwin,  George",DAMSEL IN DISTRESS:  A FOGGY DAY (IN LONDON TOWN) (ARR. Tovey),"Gershwin,  George_DAMSEL IN DISTRESS:  A FOGGY DAY (IN LONDON TOWN) (ARR. Tovey)",6
"Gershwin,  George",GIRL CRAZY: I GOT RHYTHM (ARR. Bennett),"Gershwin,  George_GIRL CRAZY: I GOT RHYTHM (ARR. Bennett)",5
"Gershwin,  George",LADY BE GOOD: FASCINATING RHYTHM (ARR. Glover),"Gershwin,  George_LADY BE GOOD: FASCINATING RHYTHM (ARR. Glover)",9
"Gershwin,  George",LADY BE GOOD: FASCINATING RHYTHM (ARR. Tovey),"Gershwin,  George_LADY BE GOOD: FASCINATING RHYTHM (ARR. Tovey)",5
"Gershwin,  George",LADY BE GOOD: MAN I LOVE (ORCH) (ARR. Tovey),"Gershwin,  George_LADY BE GOOD: MAN I LOVE (ORCH) (ARR. Tovey)",5
"Gershwin,  George",LADY BE GOOD: MAN I LOVE (ORCH) (ARR. Van Cleave),"Gershwin,  George_LADY BE GOOD: MAN I LOVE (ORCH) (ARR. Van Cleave)",5
"Gershwin,  George","LULLABY, STRING QUARTET","Gershwin,  George_LULLABY, STRING QUARTET",7
"Gershwin,  George",PORGY AND BESS,"Gershwin,  George_PORGY AND BESS",38
"Gershwin,  George",PORGY AND BESS: CATFISH ROW SUITE,"Gershwin,  George_PORGY AND BESS: CATFISH ROW SUITE",14
"Gershwin,  George",PORGY AND BESS: SYMPHONIC PICTURE (ARR. Bennett),"Gershwin,  George_PORGY AND BESS: SYMPHONIC PICTURE (ARR. Bennett)",26
"Gershwin,  George","PRELUDE, NO. 2 (ARR. Filippi)","Gershwin,  George_PRELUDE, NO. 2 (ARR. Filippi)",5
"Gershwin,  George","RHAPSODY IN BLUE, PIANO, ORCHESTRA","Gershwin,  George_RHAPSODY IN BLUE, PIANO, ORCHESTRA",85
"Gershwin,  George","RHAPSODY, SECOND, PIANO, ORCHESTRA","Gershwin,  George_RHAPSODY, SECOND, PIANO, ORCHESTRA",5
"Gershwin,  George",SHALL WE DANCE:  THEY CAN'T TAKE THAT AWAY FROM ME (ARR. Tovey),"Gershwin,  George_SHALL WE DANCE:  THEY CAN'T TAKE THAT AWAY FROM ME (ARR. Tovey)",6
"Gershwin,  George",SHALL WE DANCE: PROMENADE (ORCHESTRA) (ARR. Montenegro),"Gershwin,  George_SHALL WE DANCE: PROMENADE (ORCHESTRA) (ARR. Montenegro)",23
"Gershwin,  George",STRIKE UP THE BAND: STRIKE UP THE BAND (ARR. Bennett),"Gershwin,  George_STRIKE UP THE BAND: STRIKE UP THE BAND (ARR. Bennett)",7
"Gershwin,  George",STRIKE UP THE BAND: STRIKE UP THE BAND (ARR. Rose),"Gershwin,  George_STRIKE UP THE BAND: STRIKE UP THE BAND (ARR. Rose)",21
"Gilbert,  Henry  F.",COMEDY OVERTURE ON NEGRO THEMES,"Gilbert,  Henry  F._COMEDY OVERTURE ON NEGRO THEMES",7
"Gilmore,  Patrick  Sarsfield",WHEN JOHNNY COMES MARCHING HOME,"Gilmore,  Patrick  Sarsfield_WHEN JOHNNY COMES MARCHING HOME",10
"Ginastera,  Alberto","CONCERTO, HARP, OP. 25","Ginastera,  Alberto_CONCERTO, HARP, OP. 25",5
"Ginastera,  Alberto","CONCERTO, PIANO, NO. 1, OP. 28","Ginastera,  Alberto_CONCERTO, PIANO, NO. 1, OP. 28",6
"Ginastera,  Alberto","ESTANCIA, FOUR DANCES FROM, OP. 8A","Ginastera,  Alberto_ESTANCIA, FOUR DANCES FROM, OP. 8A",17
"Ginastera,  Alberto","VARIACIONES CONCERTANTES, OP.23","Ginastera,  Alberto_VARIACIONES CONCERTANTES, OP.23",5
"Glazunov,  Alexander","CONCERTO, SAXOPHONE, E-FLAT MAJOR, OP. 109","Glazunov,  Alexander_CONCERTO, SAXOPHONE, E-FLAT MAJOR, OP. 109",6
"Glazunov,  Alexander","CONCERTO, VIOLIN, A MINOR, OP. 82","Glazunov,  Alexander_CONCERTO, VIOLIN, A MINOR, OP. 82",46
"Glazunov,  Alexander","OVERTURE NO. 1 ON THREE GREEK THEMES, OP. 3","Glazunov,  Alexander_OVERTURE NO. 1 ON THREE GREEK THEMES, OP. 3",5
"Glazunov,  Alexander","SEASONS, THE: SUITE","Glazunov,  Alexander_SEASONS, THE: SUITE",11
"Gliere [Glière],  Reinhold","CONCERTO, COLORATURA SOPRANO, OP.82","Gliere [Glière],  Reinhold_CONCERTO, COLORATURA SOPRANO, OP.82",5
"Gliere [Glière],  Reinhold","CONCERTO, HORN, B FLAT MAJOR, OP. 91","Gliere [Glière],  Reinhold_CONCERTO, HORN, B FLAT MAJOR, OP. 91",8
"Gliere [Glière],  Reinhold","SYMPHONY NO. 3, OP. 42 (IL'YA MUROMETS)","Gliere [Glière],  Reinhold_SYMPHONY NO. 3, OP. 42 (IL'YA MUROMETS)",5
"Glinka,  Mikhail","JOTA ARAGONESA (CAPPRICCIO BRILLANTE), SPANISH OV. NO. 1","Glinka,  Mikhail_JOTA ARAGONESA (CAPPRICCIO BRILLANTE), SPANISH OV. NO. 1",8
"Glinka,  Mikhail",RUSLAN AND LUDMILA,"Glinka,  Mikhail_RUSLAN AND LUDMILA",100
"Gluck,  Christoph  Willibald",ALCESTE,"Gluck,  Christoph  Willibald_ALCESTE",18
"Gluck,  Christoph  Willibald",IPHIGENIE IN AULIS,"Gluck,  Christoph  Willibald_IPHIGENIE IN AULIS",26
"Gluck,  Christoph  Willibald",ORFEO ED EURIDICE (GENERAL),"Gluck,  Christoph  Willibald_ORFEO ED EURIDICE (GENERAL)",14
"Goehr,  Alexander","CONCERTO, VIOLIN","Goehr,  Alexander_CONCERTO, VIOLIN",5
"Goldmark,  Karl","CONCERTO, VIOLIN, A MINOR, OP. 28","Goldmark,  Karl_CONCERTO, VIOLIN, A MINOR, OP. 28",15
"Goldmark,  Karl","IN THE SPRING, OP. 36","Goldmark,  Karl_IN THE SPRING, OP. 36",15
"Goldmark,  Karl","PROMETHEUS BOUND, OP.38","Goldmark,  Karl_PROMETHEUS BOUND, OP.38",10
"Goldmark,  Karl","RUSTIC WEDDING SYMPHONY, OP. 26","Goldmark,  Karl_RUSTIC WEDDING SYMPHONY, OP. 26",21
"Goldmark,  Karl","SAKUNTALA OVERTURE, OP. 13","Goldmark,  Karl_SAKUNTALA OVERTURE, OP. 13",12
"Goldmark,  Rubin","CALL OF THE PLAINS, THE","Goldmark,  Rubin_CALL OF THE PLAINS, THE",5
"Goldmark,  Rubin","NEGRO RHAPSODY, A","Goldmark,  Rubin_NEGRO RHAPSODY, A",7
"Goldmark,  Rubin",REQUIEM (SUGGESTED BY GETTYSBURG ADDRESS),"Goldmark,  Rubin_REQUIEM (SUGGESTED BY GETTYSBURG ADDRESS)",5
"Gotovak,  Jakov","JOKER, THE: KOLO'S DANCE","Gotovak,  Jakov_JOKER, THE: KOLO'S DANCE",10
"Gottschalk,  Louis  Moreau",GRANDE TARENTELLE FOR PIANO AND ORCHESTRA (ARR. Kay),"Gottschalk,  Louis  Moreau_GRANDE TARENTELLE FOR PIANO AND ORCHESTRA (ARR. Kay)",8
"Gottschalk,  Louis  Moreau",SYMPHONY NO. 1 (NIGHT OF THE TROPICS) (ARR. Shanet),"Gottschalk,  Louis  Moreau_SYMPHONY NO. 1 (NIGHT OF THE TROPICS) (ARR. Shanet)",17
"Gould,  Morton",AMERICAN SALUTE,"Gould,  Morton_AMERICAN SALUTE",5
"Gould,  Morton","AMERICAN SYMPHONETTE, NO. 2","Gould,  Morton_AMERICAN SYMPHONETTE, NO. 2",7
"Gould,  Morton",SPIRITUALS FOR ORCHESTRA,"Gould,  Morton_SPIRITUALS FOR ORCHESTRA",7
"Gould,  Morton",TAP DANCE CONCERTO,"Gould,  Morton_TAP DANCE CONCERTO",6
"Gounod,  Charles",FAUST,"Gounod,  Charles_FAUST",26
"Gounod,  Charles",ROMEO AND JULIET,"Gounod,  Charles_ROMEO AND JULIET",5
"Granados,  Enrique",GOYESCAS,"Granados,  Enrique_GOYESCAS",11
"Gretry [Grétry],  Andre [André]  Ernest Modeste",CEPHALE ET PROCRIS: BALLET SUITE (ARR. Mottl),"Gretry [Grétry],  Andre [André]  Ernest Modeste_CEPHALE ET PROCRIS: BALLET SUITE (ARR. Mottl)",15
"Grieg,  Edvard","CONCERTO, PIANO, A MINOR, OP.16","Grieg,  Edvard_CONCERTO, PIANO, A MINOR, OP.16",111
"Grieg,  Edvard","ELEGIAC MELODIES, TWO, OP.34","Grieg,  Edvard_ELEGIAC MELODIES, TWO, OP.34",27
"Grieg,  Edvard","LYRIC SUITE (FOR ORCHESTRA, BASED ON OP. 54)","Grieg,  Edvard_LYRIC SUITE (FOR ORCHESTRA, BASED ON OP. 54)",10
"Grieg,  Edvard","NORWEGIAN DANCES, OP. 35 (ARR. Sitt)","Grieg,  Edvard_NORWEGIAN DANCES, OP. 35 (ARR. Sitt)",7
"Grieg,  Edvard",PEER GYNT,"Grieg,  Edvard_PEER GYNT",13
"Grieg,  Edvard",PEER GYNT SUITE NO. 1,"Grieg,  Edvard_PEER GYNT SUITE NO. 1",54
"Grieg,  Edvard","PEER GYNT SUITE NO. 2, OP. 55","Grieg,  Edvard_PEER GYNT SUITE NO. 2, OP. 55",12
"Grieg,  Edvard","SONGS, SIX, OP. 48 (ARR. VOICE + ORCH.) (ARR. Unspecified)","Grieg,  Edvard_SONGS, SIX, OP. 48 (ARR. VOICE + ORCH.) (ARR. Unspecified)",6
"Grieg,  Edvard","SYMPHONIC DANCES, OP. 64","Grieg,  Edvard_SYMPHONIC DANCES, OP. 64",9
"Griffes,  Charles  Tomlinson","PLEASURE DOME OF KUBLA KHAN, THE, OP. 8","Griffes,  Charles  Tomlinson_PLEASURE DOME OF KUBLA KHAN, THE, OP. 8",9
"Griffes,  Charles  Tomlinson","WHITE PEACOCK, THE","Griffes,  Charles  Tomlinson_WHITE PEACOCK, THE",20
"Grofe [Grofé],  Ferde",GRAND CANYON SUITE,"Grofe [Grofé],  Ferde_GRAND CANYON SUITE",11
"Gruber,  Franz  Xaver","SILENT NIGHT (STILLE NACHT, HEILIGE NACHT)","Gruber,  Franz  Xaver_SILENT NIGHT (STILLE NACHT, HEILIGE NACHT)",11
"Guarnieri,  Camargo","BRAZILIAN DANCES, THREE","Guarnieri,  Camargo_BRAZILIAN DANCES, THREE",7
"Gubaidulina,  Sofia",TWO PATHS (TWO VIOLAS),"Gubaidulina,  Sofia_TWO PATHS (TWO VIOLAS)",25
"Hadley,  Henry  Kimball","CULPRIT FAY RHAPSODY, OP. 62","Hadley,  Henry  Kimball_CULPRIT FAY RHAPSODY, OP. 62",18
"Hadley,  Henry  Kimball","OCEAN, THE, OP. 99","Hadley,  Henry  Kimball_OCEAN, THE, OP. 99",6
"Hadley,  Henry  Kimball","SILHOUETTES, OP.77 (ARR. Roberts)","Hadley,  Henry  Kimball_SILHOUETTES, OP.77 (ARR. Roberts)",7
"Hadley,  Henry  Kimball","SYMPHONY NO. 4, D MINOR, OP. 64, ""NORTH, EAST, SOUTH, WEST""","Hadley,  Henry  Kimball_SYMPHONY NO. 4, D MINOR, OP. 64, ""NORTH, EAST, SOUTH, WEST""",6
"Handel,  George  Frideric",ALCINA,"Handel,  George  Frideric_ALCINA",7
"Handel,  George  Frideric","CONCERTO A DUE CORI NO. 3, IN F MAJOR","Handel,  George  Frideric_CONCERTO A DUE CORI NO. 3, IN F MAJOR",7
"Handel,  George  Frideric","CONCERTO GROSSO, OP. 3, NO. 2, B FLAT MAJOR (ARR. Seiffert)","Handel,  George  Frideric_CONCERTO GROSSO, OP. 3, NO. 2, B FLAT MAJOR (ARR. Seiffert)",6
"Handel,  George  Frideric","CONCERTO GROSSO, OP. 6, NO.  5, D MAJOR (ARR. Kogel)","Handel,  George  Frideric_CONCERTO GROSSO, OP. 6, NO.  5, D MAJOR (ARR. Kogel)",12
"Handel,  George  Frideric","CONCERTO GROSSO, OP. 6, NO.  6, G MINOR","Handel,  George  Frideric_CONCERTO GROSSO, OP. 6, NO.  6, G MINOR",11
"Handel,  George  Frideric","CONCERTO GROSSO, OP. 6, NO. 10, D MINOR","Handel,  George  Frideric_CONCERTO GROSSO, OP. 6, NO. 10, D MINOR",14
"Handel,  George  Frideric","CONCERTO GROSSO, OP. 6, NO. 10, D MINOR (ARR. Kogel)","Handel,  George  Frideric_CONCERTO GROSSO, OP. 6, NO. 10, D MINOR (ARR. Kogel)",7
"Handel,  George  Frideric","CONCERTO GROSSO, OP. 6, NO. 12, B MINOR","Handel,  George  Frideric_CONCERTO GROSSO, OP. 6, NO. 12, B MINOR",20
"Handel,  George  Frideric","CONCERTO GROSSO, OP.6, NO.  7, B FLAT MAJOR","Handel,  George  Frideric_CONCERTO GROSSO, OP.6, NO.  7, B FLAT MAJOR",7
"Handel,  George  Frideric","CONCERTO, HARP, OP. 4, NO. 6, B FLAT MAJOR","Handel,  George  Frideric_CONCERTO, HARP, OP. 4, NO. 6, B FLAT MAJOR",7
"Handel,  George  Frideric","CONCERTO, OBOE, NO. 3, G MINOR","Handel,  George  Frideric_CONCERTO, OBOE, NO. 3, G MINOR",6
"Handel,  George  Frideric","CONCERTO, ORGAN, OP. 7, NO. 4, D MINOR","Handel,  George  Frideric_CONCERTO, ORGAN, OP. 7, NO. 4, D MINOR",5
"Handel,  George  Frideric",MESSIAH,"Handel,  George  Frideric_MESSIAH",113
"Handel,  George  Frideric",ODE FOR ST. CECILIA'S DAY,"Handel,  George  Frideric_ODE FOR ST. CECILIA'S DAY",11
